sent,token,label
25,sets,
25,collectively,
25,count,
25,for,
25,25,
25,%,
25,of,
25,your,
25,final,
25,grade,
25,.,
26,--,--
26,•,
26,There,
26,may,
26,be,
26,a,
26,curve,
26,of,
26,the,
26,final,
26,grades,
26,,,
26,although,
26,the,
26,lower,
26,bounds,
26,of,
26,the,
26,standard,
26,scale,
26,are,
26,guaranteed,
26,,,
26,i.e.,
26,,,
26,you,
26,will,
26,get,
26,an,
26,A-,
26,or,
26,A,
26,if,
26,your,
26,grade,
26,is,
26,90,
26,or,
26,above,
26,,,
26,a,
26,B,
26,(,
26,-/+,
26,),
26,if,
26,it,
26,is,
26,80-89,
26,,,
26,etc,
26,.,
27,--,--
27,Homework,
27,Policies,
27,:,
27,•,
27,Each,
27,assignment,
27,is,
27,due,
27,at,
27,the,
27,beginning,
27,of,
27,class,
27,on,
27,the,
27,indicated,
27,date,
27,.,
28,--,--
28,•,
28,Each,
28,homework,
28,should,
28,be,
28,done,
28,in,
28,accordance,
28,with,
28,the,
28,Honor,
28,Code,
28,.,
29,--,--
29,•,
29,No,
29,late,
29,assignments,
29,will,
29,be,
29,accepted,
29,,,
29,but,
29,we,
29,will,
29,drop,
29,your,
29,lowest,
29,homework,
29,score,
29,for,
29,calculating,
29,final,
29,grades,
29,.,
30,--,--
30,•,
30,Solutions,
30,to,
30,problems,
30,sets,
30,must,
30,be,
30,typeset,
30,using,
30,LaTeX,
30,.,
31,--,--
31,Extra,
31,Credit,
31,:,
31,•,
31,This,
31,class,
31,will,
31,have,
31,extra,
31,credit,
31,assignments,
31,that,
31,can,
31,help,
31,you,
31,boost,
31,your,
31,exam,
31,scores,
31,(,
31,by,
31,up,
31,to,
31,10,
31,%,
31,),
31,.,
32,--,--
32,•,
32,The,
32,extra,
32,credit,
32,assignments,
32,will,
32,involve,
32,doing,
32,machine-checked,
32,proofs,
32,in,
32,Coq,
32,,,
32,which,
32,you,
32,will,
32,learn,
32,about,
32,during,
32,discussion,
32,sections,
32,.,
33,--,--
33,•,
33,You,
33,may,
33,find,
33,Benjamin,
33,Pierce,
33,'s,
33,textbook,
33,Software,
33,Foundations,
33,:,
33,Volume,
33,1,
33,helpful,
33,in,
33,doing,
33,these,
33,extra,
33,credit,
33,assignments,
33,.,
34,--,--
34,•,
34,The,
34,extra,
34,credit,
34,assignments,
34,can,
34,be,
34,submitted,
34,any,
34,time,
34,before,
34,December,
34,5,
34,.,
35,--,--
35,Discussion,
35,Forum,
35,:,
36,--,--
36,While,
36,the,
36,instructor,
36,and,
36,TAs,
36,are,
36,happy,
36,to,
36,answer,
36,your,
36,questions,
36,,,
36,we,
36,believe,
36,your,
36,peers,
36,will,
36,be,
36,an,
36,equally,
36,important,
36,resource,
36,in,
36,this,
36,course,
36,.,
37,--,--
37,Therefore,
37,,,
37,we,
37,encourage,
37,you,
37,to,
37,subscribe,
37,to,
37,our,
37,class,
37,piazza,
37,page,
37,.,
38,--,--
38,While,
38,you,
38,are,
38,welcome,
38,to,
38,discuss,
38,any,
38,high-level,
38,concepts,
38,,,
38,you,
38,may,
38,not,
38,share,
38,(,
38,full,
38,or,
38,partial,
38,),
38,solutions,
38,to,
38,specific,
38,homework,
38,problems,
38,.,
39,--,--
39,Announcements,
39,:,
39,•,
39,The,
39,first,
39,class,
39,will,
39,meet,
39,on,
39,September,
39,3,
39,at,
39,2,
39,pm,
39,.,
40,--,--
40,Note,
40,that,
40,there,
40,is,
40,no,
40,class,
40,on,
40,August,
40,29,
40,because,
40,the,
40,instructor,
40,is,
40,out-of-town,
40,.,
41,--,--
41,•,
41,The,
41,university,
41,deadline,
41,for,
41,withdrawing,
41,from,
41,the,
41,course,
41,is,
41,October,
41,31,
41,.,
42,--,--
42,•,
42,The,
42,in-class,
42,exams,
42,are,
42,scheduled,
42,for,
42,October,
42,8,
42,,,
42,November,
42,7,
42,,,
42,and,
42,December,
42,5,
42,.,
43,--,--
43,Honor,
43,Code,
43,:,
43,•,
43,For,
43,the,
43,homework,
43,assignments,
43,you,
43,may,
43,talk,
43,about,
43,the,
43,problem,
43,with,
43,fellow,
43,students,
43,,,
43,the,
43,TA,
43,,,
43,and,
43,the,
43,instructor,
43,,,
43,but,
43,the,
43,write-up,
43,must,
43,be,
43,yours,
43,.,
44,--,--
44,http,
44,:,
44,//www.cs.utexas.edu/,
44,%,
44,7Eisil/cs311h/,
44,#,
44,honorhttp,
44,:,
44,//www.cs.utexas.edu/,
44,%,
44,7Eisil/cs311h/latex-guide.pdfhttps,
44,:,
44,//en.wikipedia.org/wiki/Coqhttps,
44,:,
44,//softwarefoundations.cis.upenn.edu/lf-current/index.htmlhttps,
44,:,
44,//piazza.com/utexas/fall2019/cs311h/home,
44,%,
44,22•,
44,For,
44,the,
44,written,
44,assignments,
44,and,
44,the,
44,projects,
44,,,
44,you,
44,are,
44,allowed,
44,to,
44,consult,
44,other,
44,books,
44,,,
44,papers,
44,,,
44,or,
44,published,
44,material,
44,.,
45,--,--
45,The,
45,Web,
45,is,
45,also,
45,considered,
45,a,
45,publication,
45,media,
45,.,
46,--,--
46,However,
46,,,
46,you,
46,MUST,
46,reference,
46,all,
46,the,
46,sources,
46,that,
46,helped,
46,you,
46,in,
46,the,
46,assignment,
46,.,
47,--,--
47,•,
47,You,
47,should,
47,not,
47,plagiarize,
47,.,
48,--,--
48,Therefore,
48,,,
48,you,
48,should,
48,write,
48,solutions,
48,in,
48,your,
48,own,
48,words,
48,,,
48,even,
48,if,
48,the,
48,solutions,
48,exist,
48,in,
48,a,
48,publication,
48,that,
48,you,
48,reference,
48,.,
49,--,--
49,•,
49,For,
49,more,
49,information,
49,,,
49,please,
49,refer,
49,to,
49,the,
49,departmental,
49,guidelines,
49,on,
49,academic,
49,honesty,
49,.,
50,--,--
50,Syllabus,
50,:,
51,--,--
51,Date,
51,Lecture,
51,topics,
51,Handouts,
51,Reading,
51,Assigned,
51,Due,
52,--,--
52,09/03,
52,Logic,
52,1,
52,Handout,
52,1,
52,Rosen,
52,1.1,
52,,,
52,1.2,
52,Problem,
52,set,
52,1,
53,--,--
53,09/05,
53,Logic,
53,2,
53,Handout,
53,2,
53,Rosen,
53,1.3,
54,--,--
54,09/10,
54,Logic,
54,3,
54,Handout,
54,3,
54,Rosen,
54,1.4,
54,,,
54,1.5,
54,Problem,
54,set,
54,2,
54,Problem,
54,set,
54,1,
55,--,--
55,09/12,
55,Logic,
55,4,
55,Handout,
55,4,
55,Rosen,
55,1.6,
56,--,--
56,09/17,
56,Proof,
56,methods,
56,1,
56,Handout,
56,5,
56,Rosen,
56,1.7,
56,,,
56,1.8,
56,Problem,
56,set,
56,3,
56,Problem,
56,set,
56,2,
57,--,--
57,09/19,
57,No,
57,class,
57,(,
57,career,
57,fair,
57,),
58,--,--
58,09/24,
58,Sets,
58,Handout,
58,7,
58,Rosen,
58,2.1,
58,,,
58,2.2,
59,--,--
59,09/26,
59,Functions,
59,Handout,
59,8,
59,Rosen,
59,2.3,
59,Problem,
59,set,
59,4,
59,Problem,
59,set,
59,3,
60,--,--
60,10/01,
60,Number,
60,theory,
60,1,
60,Handout,
60,9,
60,Rosen,
60,4.1,
61,--,--
61,10/03,
61,Review,
61,Problem,
61,set,
61,4,
62,--,--
62,10/08,
62,Exam,
62,1,
63,--,--
63,10/10,
63,Number,
63,theory,
63,2,
63,Handout,
63,10,
63,Rosen,
63,4.3,
63,Problem,
63,set,
63,5,
64,--,--
64,10/15,
64,Combinatorics,
64,1,
64,Handout,
64,11,
64,Rosen,
64,5.1,
65,--,--
65,10/17,
65,Combinatorics,
65,2,
65,Handout,
65,12,
65,Rosen,
65,5.2,
65,Problem,
65,set,
65,5,
66,--,--
66,10/22,
66,Combinatorics,
66,3,
66,Handout,
66,13,
66,Rosen,
66,5.3,
67,--,--
67,10/24,
67,Induction,
67,1,
67,Handout,
67,14,
67,Rosen,
67,6.1,
67,,,
67,6.2,
68,--,--
68,10/29,
68,Induction,
68,2,
68,Handout,
68,15,
68,Rosen,
68,6.3,
68,,,
68,6.4,
69,--,--
69,10/31,
69,Induction,
69,3,
69,Handout,
69,16,
69,Rosen,
69,6.5,
70,--,--
70,11/05,
70,Graphs,
70,1,
70,Handout,
70,17,
70,N/A,
71,--,--
71,11/07,
71,Exam,
71,2,
72,--,--
72,11/12,
72,Graphs,
72,2,
72,Handout,
72,18,
72,N/A,
73,--,--
73,11/14,
73,Graphs,
73,3,
73,Handout,
73,19,
73,N/A,
74,--,--
74,11/19,
74,Complexity,
74,Handout,
74,20,
74,Rosen,
74,3.2,
75,--,--
75,11/21,
75,Recurrences,
75,Handout,
75,21,
75,Rosen,
75,8.3,
76,--,--
76,11/26,
76,Master,
76,theorem,
76,Handout,
76,22,
77,--,--
77,11/28,
77,No,
77,class,
77,(,
77,Thanksgiving,
77,),
77,http,
77,:,
77,//www.cs.utexas.edu/users/ear/CodeOfConduct.html,
77,#,
77,honestyhttp,
77,:,
77,//www.cs.utexas.edu/,
77,%,
77,7Eisil/cs311h/lecture1-6up.pdfhttp,
77,:,
77,//www.cs.utexas.edu/,
77,%,
77,7Eisil/cs311h/hw1.pdfhttp,
77,:,
77,//www.cs.utexas.edu/,
77,%,
77,7Eisil/cs311h/lecture1b-6up.pdfhttp,
77,:,
77,//www.cs.utexas.edu/,
77,%,
77,7Eisil/cs311h/lecture2-6up.pdfhttp,
77,:,
77,//www.cs.utexas.edu/,
77,%,
77,7Eisil/cs311h/hw2.pdfhttp,
77,:,
77,//www.cs.utexas.edu/,
77,%,
77,7Eisil/cs311h/lecture3-6up.pdfhttp,
77,:,
77,//www.cs.utexas.edu/,
77,%,
77,7Eisil/cs311h/lecture4-6up.pdfhttp,
77,:,
77,//www.cs.utexas.edu/,
77,%,
77,7Eisil/cs311h/hw3.pdfhttp,
77,:,
77,//www.cs.utexas.edu/,
77,%,
77,7Eisil/cs311h/lecture-sets-6up.pdfhttp,
77,:,
77,//www.cs.utexas.edu/,
77,%,
77,7Eisil/cs311h/lecture-functions-6up.pdfhttp,
77,:,
77,//www.cs.utexas.edu/,
77,%,
77,7Eisil/cs311h/hw4.pdfhttp,
77,:,
77,//www.cs.utexas.edu/,
77,%,
77,7Eisil/cs311h/lecture-num-theory1-6up.pdfhttp,
77,:,
77,//www.cs.utexas.edu/,
77,%,
77,7Eisil/cs311h/lecture-num-theory2-6up.pdfhttp,
77,:,
77,//www.cs.utexas.edu/,
77,%,
77,7Eisil/cs311h/hw-numtheory.pdfhttp,
77,:,
77,//www.cs.utexas.edu/,
77,%,
77,7Eisil/cs311h/lecture-combinatorics1-6up.pdf,
78,--,--
78,12/03,
78,Review,
79,--,--
79,12/05,
79,Exam,
79,3,
79,CS,
79,311H,
79,:,
79,Discrete,
79,Math,
79,Honors,
79,Logistical,
79,Information,
79,:,
79,Course,
79,Description,
79,:,
79,Requirements,
79,and,
79,Grading,
79,:,
79,Homework,
79,Policies,
79,:,
79,Extra,
79,Credit,
79,:,
79,Discussion,
79,Forum,
79,:,
79,Announcements,
79,:,
79,Honor,
79,Code,
79,:,
79,Syllabus,
79,:,
