Instructor,Course,Semester,Program,Q1,Q1-P,Q1-U,Q2,Q2-P,Q2-U,Q3,Q3-P,Q3-U,Q4,Q4-P,Q4-U,Q5,Q5-P,Q5-U,Q6,Q6-P,Q6-U,Q7,Q7-P,Q7-U,Q8,Q8-P,Q8-U,Q9,Q9-P,Q9-U,Q10,Q10-P,Q10-U,Q11,Q11-P,Q11-U,Q12
"Abraham, Sarah A",C S109,Spring 2018,Computer Science,4.5,4.4,4.5,4.4,4.5,4.6,4.4,4.3,4.4,4.3,4.4,4.5,4.3,4.4,4.5,4.2,4.2,4.3,4.4,4.4,4.5,3.9,4.0,4.2,4.1,4.3,4.4,4.5,4.3,4.3,4.1,4.0,4.1,About right
"Dickerson, Robert F",C S109,Spring 2015,Computer Science,3.9,4.2,4.4,3.6,4.3,4.6,3.7,4.1,4.3,4.2,4.2,4.4,3.9,4.4,4.5,3.3,4.1,4.3,4.0,4.4,4.5,3.9,4.0,4.2,3.9,4.2,4.3,3.6,4.1,4.3,3.3,3.9,4.0,Somewhat light
"Norman, Alison N",C S109,Spring 2018,Computer Science,4.5,4.4,4.5,4.4,4.5,4.6,4.5,4.3,4.4,4.4,4.4,4.5,4.3,4.4,4.5,4.1,4.2,4.3,4.4,4.4,4.5,4.0,4.0,4.2,4.2,4.3,4.4,4.4,4.3,4.3,4.0,4.0,4.1,About right
"Peters, Arthur M",C S109,Fall 2017,Computer Science,4.4,4.3,4.5,4.4,4.4,4.6,4.2,4.2,4.3,4.5,4.3,4.4,4.7,4.4,4.5,4.3,4.2,4.3,4.4,4.3,4.5,4.1,4.0,4.2,4.4,4.3,4.4,4.1,4.2,4.3,4.0,4.1,4.1,About right
"Peters, Arthur M",C S109,Fall 2018,Computer Science,4.5,4.5,4.5,4.6,4.6,4.6,4.4,4.3,4.3,4.7,4.4,4.5,4.4,4.5,4.5,4.2,4.3,4.3,4.6,4.4,4.5,3.8,4.1,4.2,4.5,4.4,4.4,4.2,4.3,4.3,3.9,4.1,4.1,About right
"Peters, Arthur M",C S109,Spring 2019,Computer Science,4.5,4.4,4.5,4.5,4.5,4.6,4.5,4.2,4.4,4.6,4.4,4.5,4.7,4.4,4.6,4.5,4.2,4.4,4.6,4.4,4.5,4.4,4.0,4.3,4.6,4.3,4.4,4.5,4.2,4.4,4.5,4.0,4.1,About right
"Seitsinger, Robert M",C S109,Spring 2015,Computer Science,4.3,4.2,4.4,4.4,4.3,4.6,4.0,4.1,4.3,4.1,4.2,4.4,3.8,4.4,4.5,4.4,4.1,4.3,4.7,4.4,4.5,4.4,4.0,4.2,4.2,4.2,4.3,4.0,4.1,4.3,3.8,3.9,4.0,Somewhat light
"Baer, Joshua Dana",C S178,Fall 2016,Computer Science,4.6,4.4,4.4,4.8,4.5,4.6,4.6,4.3,4.3,4.2,4.3,4.4,4.0,4.4,4.5,4.4,4.3,4.3,4.2,4.4,4.4,3.9,4.1,4.2,4.3,4.4,4.3,4.4,4.3,4.3,4.3,4.1,4.0,About right
"Baer, Joshua Dana",C S178,Fall 2017,Computer Science,4.8,4.3,4.5,4.9,4.4,4.6,4.8,4.2,4.3,4.7,4.3,4.4,4.5,4.4,4.5,4.7,4.2,4.3,4.5,4.3,4.5,4.4,4.0,4.2,4.7,4.3,4.4,4.7,4.2,4.3,4.7,4.1,4.1,About right
"Alvisi, Lorenzo",C S178H,Spring 2015,Computer Science,4.3,4.2,4.4,4.7,4.3,4.6,4.8,4.1,4.3,4.8,4.2,4.4,4.3,4.4,4.5,4.5,4.1,4.3,4.8,4.4,4.5,3.9,4.0,4.2,4.5,4.2,4.3,4.7,4.1,4.3,4.4,3.9,4.0,About right
"Alvisi, Lorenzo",C S178H,Spring 2016,Computer Science,4.7,4.3,4.5,4.8,4.4,4.6,4.9,4.2,4.4,4.8,4.3,4.4,4.6,4.4,4.5,4.6,4.2,4.3,4.9,4.4,4.5,4.5,4.0,4.2,4.4,4.3,4.4,4.8,4.2,4.3,4.5,4.0,4.1,About right
"Lin, Calvin",C S178H,Spring 2015,Computer Science,4.3,4.2,4.4,4.6,4.3,4.6,4.8,4.1,4.3,4.7,4.2,4.4,4.5,4.4,4.5,4.3,4.1,4.3,4.8,4.4,4.5,4.0,4.0,4.2,4.5,4.2,4.3,4.6,4.1,4.3,4.5,3.9,4.0,About right
"Lin, Calvin",C S178H,Spring 2016,Computer Science,4.7,4.3,4.5,4.6,4.4,4.6,4.9,4.2,4.4,4.8,4.3,4.4,4.8,4.4,4.5,4.3,4.2,4.3,4.9,4.4,4.5,4.7,4.0,4.2,4.3,4.3,4.4,4.8,4.2,4.3,4.4,4.0,4.1,About right
"Lin, Calvin",C S178H,Spring 2017,Computer Science,4.3,4.4,4.5,4.4,4.5,4.6,4.6,4.2,4.4,4.1,4.3,4.4,4.4,4.4,4.5,3.9,4.2,4.4,4.6,4.4,4.5,3.8,4.0,4.2,4.1,4.3,4.4,4.5,4.2,4.3,4.2,4.0,4.1,Somewhat light
"Lin, Calvin",C S178H,Spring 2018,Computer Science,4.2,4.4,4.5,4.4,4.5,4.6,4.7,4.3,4.4,4.7,4.4,4.5,4.5,4.4,4.5,4.1,4.2,4.3,4.6,4.4,4.5,4.1,4.0,4.2,4.3,4.3,4.4,4.5,4.3,4.3,4.0,4.0,4.1,About right
"Lin, Calvin",C S178H,Spring 2019,Computer Science,4.3,4.4,4.5,4.5,4.5,4.6,4.6,4.2,4.4,4.7,4.4,4.5,4.5,4.4,4.6,4.0,4.2,4.4,4.7,4.4,4.5,4.3,4.0,4.3,4.3,4.3,4.4,4.5,4.2,4.4,4.2,4.0,4.1,About right
"Clement, Nathan Lee",C S302,Spring 2015,Computer Science,4.1,4.2,4.4,4.1,4.3,4.6,3.6,4.1,4.3,4.0,4.2,4.4,4.4,4.4,4.5,3.9,4.1,4.3,4.2,4.4,4.5,3.7,4.0,4.2,4.1,4.2,4.3,3.7,4.1,4.3,3.7,3.9,4.0,About right
"Clement, Nathan Lee",C S302,Fall 2015,Computer Science,4.1,4.3,4.4,3.9,4.4,4.5,3.5,4.2,4.3,4.0,4.3,4.4,4.5,4.4,4.5,3.7,4.1,4.3,4.2,4.4,4.4,3.7,4.0,4.2,4.1,4.3,4.3,3.7,4.2,4.3,3.7,4.0,4.0,About right
"De, Ankita",C S302,Spring 2015,Computer Science,2.9,4.2,4.4,3.7,4.3,4.6,2.9,4.1,4.3,3.1,4.2,4.4,3.6,4.4,4.5,3.5,4.1,4.3,4.1,4.4,4.5,3.3,4.0,4.2,3.7,4.2,4.3,2.9,4.1,4.3,3.3,3.9,4.0,About right
"De, Ankita",C S302,Spring 2015,Computer Science,2.9,4.2,4.4,3.8,4.3,4.6,2.5,4.1,4.3,3.1,4.2,4.4,3.9,4.4,4.5,3.3,4.1,4.3,3.8,4.4,4.5,3.5,4.0,4.2,3.8,4.2,4.3,2.7,4.1,4.3,3.5,3.9,4.0,About right
"Freitag, Cody Robert",C S302,Spring 2015,Computer Science,4.4,4.2,4.4,4.5,4.3,4.6,4.6,4.1,4.3,4.2,4.2,4.4,4.4,4.4,4.5,4.3,4.1,4.3,4.5,4.4,4.5,4.1,4.0,4.2,4.3,4.2,4.3,4.4,4.1,4.3,3.9,3.9,4.0,About right
"Freitag, Cody Robert",C S302,Spring 2015,Computer Science,4.3,4.2,4.4,4.6,4.3,4.6,4.4,4.1,4.3,4.1,4.2,4.4,4.3,4.4,4.5,4.1,4.1,4.3,4.2,4.4,4.5,4.0,4.0,4.2,4.0,4.2,4.3,4.1,4.1,4.3,3.7,3.9,4.0,About right
"John, Chand T",C S302,Spring 2019,Computer Science,4.8,4.4,4.5,4.8,4.5,4.6,4.6,4.2,4.4,4.5,4.4,4.5,4.7,4.4,4.6,4.6,4.2,4.4,4.7,4.4,4.5,4.5,4.0,4.3,4.5,4.3,4.4,4.7,4.2,4.4,4.5,4.0,4.1,About right
"John, Chand T",C S302,Spring 2019,Computer Science,4.6,4.4,4.5,4.7,4.5,4.6,4.4,4.2,4.4,4.4,4.4,4.5,4.6,4.4,4.6,4.5,4.2,4.4,4.6,4.4,4.5,4.4,4.0,4.3,4.4,4.3,4.4,4.5,4.2,4.4,4.2,4.0,4.1,About right
"Mao, Xueyu",C S302,Fall 2015,Computer Science,3.5,4.3,4.4,4.1,4.4,4.5,2.9,4.2,4.3,3.3,4.3,4.4,4.0,4.4,4.5,3.6,4.1,4.3,3.7,4.4,4.4,3.8,4.0,4.2,4.1,4.3,4.3,3.2,4.2,4.3,3.8,4.0,4.0,About right
"Mao, Xueyu",C S302,Fall 2015,Computer Science,3.1,4.3,4.4,3.7,4.4,4.5,2.5,4.2,4.3,2.9,4.3,4.4,3.9,4.4,4.5,3.0,4.1,4.3,3.3,4.4,4.4,3.4,4.0,4.2,3.9,4.3,4.3,2.7,4.2,4.3,3.4,4.0,4.0,About right
"Nguyen, Vivian",C S302,Spring 2015,Computer Science,4.4,4.2,4.4,4.1,4.3,4.6,4.2,4.1,4.3,4.2,4.2,4.4,4.4,4.4,4.5,4.3,4.1,4.3,4.3,4.4,4.5,4.1,4.0,4.2,4.2,4.2,4.3,4.1,4.1,4.3,4.1,3.9,4.0,About right
"Nguyen, Vivian",C S302,Spring 2015,Computer Science,4.2,4.2,4.4,4.4,4.3,4.6,4.3,4.1,4.3,3.9,4.2,4.4,4.5,4.4,4.5,4.3,4.1,4.3,4.2,4.4,4.5,4.0,4.0,4.2,4.0,4.2,4.3,4.0,4.1,4.3,3.9,3.9,4.0,About right
"Porter, Bruce W",C S302,Spring 2018,Computer Science,4.5,4.4,4.5,4.6,4.5,4.6,4.3,4.3,4.4,4.3,4.4,4.5,4.5,4.4,4.5,4.2,4.2,4.3,4.6,4.4,4.5,4.1,4.0,4.2,4.3,4.3,4.4,4.1,4.3,4.3,3.9,4.0,4.1,About right
"Porter, Bruce W",C S302,Fall 2018,Computer Science,4.5,4.5,4.5,4.7,4.6,4.6,4.5,4.3,4.3,4.5,4.4,4.5,4.5,4.5,4.5,4.4,4.3,4.3,4.6,4.4,4.5,4.1,4.1,4.2,4.5,4.4,4.4,4.4,4.3,4.3,4.1,4.1,4.1,About right
"Beasley, Angela Chappell",C S303E,Fall 2018,Computer Science,4.3,4.5,4.5,4.3,4.6,4.6,4.1,4.3,4.3,4.3,4.4,4.5,4.5,4.5,4.5,4.1,4.3,4.3,4.6,4.4,4.5,3.9,4.1,4.2,4.4,4.4,4.4,4.0,4.3,4.3,4.0,4.1,4.1,About right
"Bulko, William C",C S303E,Fall 2018,Computer Science,4.6,4.5,4.5,4.8,4.6,4.6,4.5,4.3,4.3,4.3,4.4,4.5,4.5,4.5,4.5,4.6,4.3,4.3,4.4,4.4,4.5,4.2,4.1,4.2,4.5,4.4,4.4,4.5,4.3,4.3,4.3,4.1,4.1,About right
"Bulko, William C",C S303E,Fall 2018,Computer Science,4.7,4.5,4.5,4.8,4.6,4.6,4.7,4.3,4.3,4.5,4.4,4.5,4.7,4.5,4.5,4.6,4.3,4.3,4.4,4.4,4.5,4.3,4.1,4.2,4.7,4.4,4.4,4.7,4.3,4.3,4.4,4.1,4.1,About right
"Coffman-Wolph, Stephany S",C S303E,Spring 2018,Computer Science,3.9,4.4,4.5,4.1,4.5,4.6,3.9,4.3,4.4,4.2,4.4,4.5,4.2,4.4,4.5,3.3,4.2,4.3,4.5,4.4,4.5,3.8,4.0,4.2,4.2,4.3,4.4,3.9,4.3,4.3,3.8,4.0,4.1,About right
"Coffman-Wolph, Stephany S",C S303E,Spring 2018,Computer Science,4.4,4.4,4.5,4.4,4.5,4.6,4.2,4.3,4.4,4.2,4.4,4.5,4.5,4.4,4.5,3.7,4.2,4.3,4.6,4.4,4.5,4.0,4.0,4.2,4.4,4.3,4.4,4.3,4.3,4.3,4.1,4.0,4.1,About right
"Coffman-Wolph, Stephany S",C S303E,Spring 2019,Computer Science,3.4,4.4,4.5,3.3,4.5,4.6,3.0,4.2,4.4,3.7,4.4,4.5,3.6,4.4,4.6,2.8,4.2,4.4,3.6,4.4,4.5,3.1,4.0,4.3,3.5,4.3,4.4,3.0,4.2,4.4,3.0,4.0,4.1,About right
"Coffman-Wolph, Stephany S",C S303E,Spring 2019,Computer Science,3.7,4.4,4.5,3.8,4.5,4.6,3.3,4.2,4.4,3.6,4.4,4.5,4.1,4.4,4.6,3.3,4.2,4.4,4.1,4.4,4.5,3.4,4.0,4.3,3.8,4.3,4.4,3.3,4.2,4.4,3.2,4.0,4.1,About right
"Mitra, Shyamal K",C S303E,Spring 2015,Computer Science,4.6,4.2,4.4,4.7,4.3,4.6,4.5,4.1,4.3,4.6,4.2,4.4,4.5,4.4,4.5,4.5,4.1,4.3,4.5,4.4,4.5,4.3,4.0,4.2,4.5,4.2,4.3,4.4,4.1,4.3,4.1,3.9,4.0,About right
"Mitra, Shyamal K",C S303E,Spring 2015,Computer Science,4.6,4.2,4.4,4.7,4.3,4.6,4.4,4.1,4.3,4.5,4.2,4.4,4.3,4.4,4.5,4.4,4.1,4.3,4.4,4.4,4.5,4.1,4.0,4.2,4.6,4.2,4.3,4.5,4.1,4.3,4.2,3.9,4.0,About right
"Mitra, Shyamal K",C S303E,Fall 2015,Computer Science,4.5,4.3,4.4,4.6,4.4,4.5,4.3,4.2,4.3,4.5,4.3,4.4,4.4,4.4,4.5,4.4,4.1,4.3,4.3,4.4,4.4,4.1,4.0,4.2,4.5,4.3,4.3,4.4,4.2,4.3,4.2,4.0,4.0,Somewhat high
"Mitra, Shyamal K",C S303E,Fall 2015,Computer Science,4.6,4.3,4.4,4.7,4.4,4.5,4.5,4.2,4.3,4.6,4.3,4.4,4.5,4.4,4.5,4.6,4.1,4.3,4.5,4.4,4.4,4.2,4.0,4.2,4.6,4.3,4.3,4.6,4.2,4.3,4.3,4.0,4.0,Somewhat high
"Mitra, Shyamal K",C S303E,Spring 2016,Computer Science,4.4,4.3,4.5,4.5,4.4,4.6,4.2,4.2,4.4,4.6,4.3,4.4,4.4,4.4,4.5,4.2,4.2,4.3,4.1,4.4,4.5,4.0,4.0,4.2,4.4,4.3,4.4,4.2,4.2,4.3,4.0,4.0,4.1,About right
"Mitra, Shyamal K",C S303E,Spring 2016,Computer Science,4.6,4.3,4.5,4.7,4.4,4.6,4.5,4.2,4.4,4.6,4.3,4.4,4.4,4.4,4.5,4.5,4.2,4.3,4.5,4.4,4.5,4.3,4.0,4.2,4.6,4.3,4.4,4.5,4.2,4.3,4.3,4.0,4.1,About right
"Mitra, Shyamal K",C S303E,Fall 2016,Computer Science,4.5,4.4,4.4,4.6,4.5,4.6,4.4,4.3,4.3,4.5,4.3,4.4,4.3,4.4,4.5,4.3,4.3,4.3,4.5,4.4,4.4,4.0,4.1,4.2,4.5,4.4,4.3,4.5,4.3,4.3,4.1,4.1,4.0,About right
"Mitra, Shyamal K",C S303E,Fall 2016,Computer Science,4.6,4.4,4.4,4.7,4.5,4.6,4.5,4.3,4.3,4.7,4.3,4.4,4.4,4.4,4.5,4.5,4.3,4.3,4.5,4.4,4.4,4.2,4.1,4.2,4.7,4.4,4.3,4.4,4.3,4.3,4.2,4.1,4.0,Somewhat high
"Mitra, Shyamal K",C S303E,Spring 2017,Computer Science,4.6,4.4,4.5,4.7,4.5,4.6,4.5,4.2,4.4,4.7,4.3,4.4,4.2,4.4,4.5,4.5,4.2,4.4,4.3,4.4,4.5,4.3,4.0,4.2,4.6,4.3,4.4,4.4,4.2,4.3,4.2,4.0,4.1,About right
"Mitra, Shyamal K",C S303E,Spring 2017,Computer Science,4.6,4.4,4.5,4.7,4.5,4.6,4.6,4.2,4.4,4.5,4.3,4.4,4.4,4.4,4.5,4.5,4.2,4.4,4.5,4.4,4.5,4.5,4.0,4.2,4.6,4.3,4.4,4.6,4.2,4.3,4.4,4.0,4.1,About right
"Mitra, Shyamal K",C S303E,Fall 2017,Computer Science,4.6,4.3,4.5,4.7,4.4,4.6,4.6,4.2,4.3,4.6,4.3,4.4,4.4,4.4,4.5,4.6,4.2,4.3,4.4,4.3,4.5,4.2,4.0,4.2,4.6,4.3,4.4,4.5,4.2,4.3,4.3,4.1,4.1,About right
"Mitra, Shyamal K",C S303E,Fall 2017,Computer Science,4.5,4.3,4.5,4.6,4.4,4.6,4.4,4.2,4.3,4.5,4.3,4.4,4.3,4.4,4.5,4.5,4.2,4.3,4.3,4.3,4.5,4.2,4.0,4.2,4.6,4.3,4.4,4.3,4.2,4.3,4.2,4.1,4.1,Somewhat high
"Mitra, Shyamal K",C S303E,Fall 2017,Computer Science,4.4,4.3,4.5,4.6,4.4,4.6,4.2,4.2,4.3,4.3,4.3,4.4,4.1,4.4,4.5,4.3,4.2,4.3,4.1,4.3,4.5,4.0,4.0,4.2,4.4,4.3,4.4,4.2,4.2,4.3,4.1,4.1,4.1,Somewhat high
"Hart, Justin W",C S309,Spring 2018,Computer Science,4.2,4.4,4.5,4.2,4.5,4.6,3.7,4.3,4.4,4.5,4.4,4.5,4.4,4.4,4.5,3.5,4.2,4.3,3.8,4.4,4.5,3.5,4.0,4.2,4.4,4.3,4.4,3.8,4.3,4.3,3.5,4.0,4.1,Somewhat high
"Hart, Justin W",C S309,Spring 2019,Computer Science,4.3,4.4,4.5,4.2,4.5,4.6,4.1,4.2,4.4,4.5,4.4,4.5,4.5,4.4,4.6,4.1,4.2,4.4,4.3,4.4,4.5,4.3,4.0,4.3,4.5,4.3,4.4,4.5,4.2,4.4,4.2,4.0,4.1,About right
"La Cour, Brian",C S309,Spring 2018,Computer Science,4.5,4.4,4.5,4.5,4.5,4.6,4.4,4.3,4.4,4.5,4.4,4.5,4.7,4.4,4.5,4.2,4.2,4.3,4.5,4.4,4.5,3.9,4.0,4.2,4.5,4.3,4.4,4.3,4.3,4.3,4.1,4.0,4.1,Somewhat high
"Lioutikov, Rudolf",C S309,Spring 2019,Computer Science,3.9,4.4,4.5,3.9,4.5,4.6,3.9,4.2,4.4,4.4,4.4,4.5,4.3,4.4,4.6,3.1,4.2,4.4,4.4,4.4,4.5,4.0,4.0,4.3,4.8,4.3,4.4,4.5,4.2,4.4,4.1,4.0,4.1,About right
"Sinapov, Jivko",C S309,Spring 2017,Computer Science,4.0,4.4,4.5,4.1,4.5,4.6,3.9,4.2,4.4,4.1,4.3,4.4,4.0,4.4,4.5,3.9,4.2,4.4,4.2,4.4,4.5,3.6,4.0,4.2,4.1,4.3,4.4,3.8,4.2,4.3,3.7,4.0,4.1,About right
"Tutum, Cem C",C S309,Spring 2017,Computer Science,4.1,4.4,4.5,4.4,4.5,4.6,3.6,4.2,4.4,4.5,4.3,4.4,4.3,4.4,4.5,3.9,4.2,4.4,4.3,4.4,4.5,4.1,4.0,4.2,4.4,4.3,4.4,4.0,4.2,4.3,4.0,4.0,4.1,About right
"Tutum, Cem C",C S309,Spring 2018,Computer Science,3.1,4.4,4.5,3.3,4.5,4.6,3.1,4.3,4.4,3.8,4.4,4.5,3.0,4.4,4.5,2.5,4.2,4.3,3.5,4.4,4.5,3.2,4.0,4.2,3.4,4.3,4.4,3.0,4.3,4.3,2.9,4.0,4.1,About right
"Ali, Muqeet",C S311,Spring 2015,Computer Science,3.6,4.2,4.4,3.7,4.3,4.6,3.4,4.1,4.3,3.0,4.2,4.4,3.9,4.4,4.5,3.6,4.1,4.3,4.1,4.4,4.5,3.6,4.0,4.2,3.7,4.2,4.3,3.4,4.1,4.3,3.9,3.9,4.0,About right
"Ali, Muqeet",C S311,Spring 2015,Computer Science,4.6,4.2,4.4,4.6,4.3,4.6,4.6,4.1,4.3,4.5,4.2,4.4,4.6,4.4,4.5,4.4,4.1,4.3,4.6,4.4,4.5,3.8,4.0,4.2,4.1,4.2,4.3,4.4,4.1,4.3,4.4,3.9,4.0,About right
"Ali, Muqeet",C S311,Fall 2015,Computer Science,3.9,4.3,4.4,4.3,4.4,4.5,3.9,4.2,4.3,3.5,4.3,4.4,4.0,4.4,4.5,4.0,4.1,4.3,3.9,4.4,4.4,3.2,4.0,4.2,3.7,4.3,4.3,3.6,4.2,4.3,3.5,4.0,4.0,About right
"Ali, Muqeet",C S311,Fall 2015,Computer Science,3.6,4.3,4.4,4.3,4.4,4.5,3.6,4.2,4.3,3.6,4.3,4.4,4.1,4.4,4.5,3.9,4.1,4.3,4.0,4.4,4.4,4.0,4.0,4.2,3.9,4.3,4.3,3.5,4.2,4.3,3.5,4.0,4.0,About right
"Ali, Muqeet",C S311,Spring 2016,Computer Science,4.0,4.3,4.5,4.4,4.4,4.6,4.1,4.2,4.4,3.6,4.3,4.4,3.9,4.4,4.5,3.8,4.2,4.3,4.1,4.4,4.5,3.3,4.0,4.2,3.9,4.3,4.4,3.9,4.2,4.3,3.6,4.0,4.1,About right
"Ali, Muqeet",C S311,Spring 2016,Computer Science,3.6,4.3,4.5,4.1,4.4,4.6,3.7,4.2,4.4,3.7,4.3,4.4,3.9,4.4,4.5,4.0,4.2,4.3,4.0,4.4,4.5,4.0,4.0,4.2,3.7,4.3,4.4,3.6,4.2,4.3,4.0,4.0,4.1,About right
"Ali, Muqeet",C S311,Spring 2016,Computer Science,3.7,4.3,4.5,4.2,4.4,4.6,3.7,4.2,4.4,3.0,4.3,4.4,4.0,4.4,4.5,3.8,4.2,4.3,3.5,4.4,4.5,3.7,4.0,4.2,3.2,4.3,4.4,3.2,4.2,4.3,3.2,4.0,4.1,About right
"Breik, Keenan S",C S311,Spring 2015,Computer Science,4.6,4.2,4.4,4.6,4.3,4.6,4.5,4.1,4.3,4.4,4.2,4.4,4.5,4.4,4.5,4.3,4.1,4.3,4.8,4.4,4.5,3.5,4.0,4.2,3.6,4.2,4.3,4.6,4.1,4.3,3.5,3.9,4.0,About right
"Breik, Keenan S",C S311,Spring 2015,Computer Science,4.4,4.2,4.4,4.7,4.3,4.6,4.7,4.1,4.3,4.9,4.2,4.4,4.7,4.4,4.5,4.4,4.1,4.3,4.9,4.4,4.5,4.1,4.0,4.2,4.6,4.2,4.3,4.8,4.1,4.3,4.4,3.9,4.0,About right
"Bulko, William C",C S311,Fall 2015,Computer Science,4.0,4.3,4.4,4.1,4.4,4.5,4.0,4.2,4.3,3.9,4.3,4.4,3.9,4.4,4.5,4.0,4.1,4.3,4.3,4.4,4.4,3.4,4.0,4.2,3.6,4.3,4.3,3.9,4.2,4.3,3.4,4.0,4.0,About right
"Bulko, William C",C S311,Spring 2016,Computer Science,4.4,4.3,4.5,4.4,4.4,4.6,4.2,4.2,4.4,3.9,4.3,4.4,4.3,4.4,4.5,4.3,4.2,4.3,4.4,4.4,4.5,4.0,4.0,4.2,4.0,4.3,4.4,4.0,4.2,4.3,3.9,4.0,4.1,About right
"Bulko, William C",C S311,Spring 2016,Computer Science,4.4,4.3,4.5,4.3,4.4,4.6,4.2,4.2,4.4,3.9,4.3,4.4,4.3,4.4,4.5,4.3,4.2,4.3,4.4,4.4,4.5,3.8,4.0,4.2,4.0,4.3,4.4,4.3,4.2,4.3,3.9,4.0,4.1,About right
"Bulko, William C",C S311,Spring 2017,Computer Science,4.4,4.4,4.5,4.3,4.5,4.6,4.3,4.2,4.4,4.0,4.3,4.4,4.4,4.4,4.5,4.4,4.2,4.4,4.3,4.4,4.5,4.1,4.0,4.2,4.0,4.3,4.4,4.0,4.2,4.3,3.8,4.0,4.1,About right
