token	LABEL
sections	O
.	O
•	O
You	O
may	O
find	O
Benjamin	PERSON
Pierce	PERSON
's	PERSON
textbook	O
Software	O
Foundations	O
:	O
Volume	O
1	O
helpful	O
in	O
doing	O
these	O
extra	O
credit	O
assignments	O
.	O
•	O
The	O
extra	O
credit	O
assignments	O
can	O
be	O
submitted	O
any	O
time	O
before	O
December	DATE
5	DATE
.	O
Discussion	O
Forum	O
:	O
While	O
the	O
instructor	O
and	O
TAs	O
are	O
happy	O
to	O
answer	O
your	O
questions	O
	O
we	O
believe	O
your	O
peers	O
will	O
be	O
an	O
equally	O
important	O
resource	O
in	O
this	O
course	O
.	O
Therefore	O
	O
we	O
encourage	O
you	O
to	O
subscribe	O
to	O
our	O
class	O
piazza	O
page	O
.	O
While	O
you	O
are	O
welcome	O
to	O
discuss	O
any	O
high-level	O
concepts	O
	O
you	O
may	O
not	O
share	O
(	O
full	O
or	O
partial	O
)	O
solutions	O
to	O
specific	O
homework	O
problems	O
.	O
Announcements	O
:	O
•	O
The	O
first	O
class	O
will	O
meet	O
on	O
September	DATE
3	DATE
at	DATE
2	DATE
pm	DATE
.	O
Note	O
that	O
there	O
is	O
no	O
class	O
on	O
August	DATE
29	DATE
because	O
the	O
instructor	O
is	O
out-of-town	O
.	O
•	O
The	O
university	O
deadline	O
for	O
withdrawing	O
from	O
the	O
course	O
is	O
October	DATE
31	DATE
.	O
•	O
The	O
in-class	O
exams	O
are	O
scheduled	O
for	O
October	DATE
8	DATE
	O
November	DATE
7	DATE
	O
and	O
December	DATE
5	DATE
.	O
Honor	O
Code	O
:	O
•	O
For	O
the	O
homework	O
assignments	O
you	O
may	O
talk	O
about	O
the	O
problem	O
with	O
fellow	O
students	O
	O
the	O
TA	O
	O
and	O
the	O
instructor	O
	O
but	O
the	O
write-up	O
must	O
be	O
yours	O
.	O
http	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/cs311h/	WEBSITE
#	WEBSITE
honorhttp	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/cs311h/latex-guide.pdfhttps	WEBSITE
:	WEBSITE
//en.wikipedia.org/wiki/Coqhttps	WEBSITE
:	WEBSITE
//softwarefoundations.cis.upenn.edu/lf-current/index.htmlhttps	WEBSITE
:	WEBSITE
//piazza.com/utexas/fall2019/cs311h/home	WEBSITE
%	WEBSITE
22•	WEBSITE
For	O
the	O
written	O
assignments	O
and	O
the	O
projects	O
	O
you	O
are	O
allowed	O
to	O
consult	O
other	O
books	O
	O
papers	O
	O
or	O
published	O
material	O
.	O
The	O
Web	O
is	O
also	O
considered	O
a	O
publication	O
media	O
.	O
However	O
	O
you	O
MUST	O
reference	O
all	O
the	O
sources	O
that	O
helped	O
you	O
in	O
the	O
assignment	O
.	O
•	O
You	O
should	O
not	O
plagiarize	O
.	O
Therefore	O
	O
you	O
should	O
write	O
solutions	O
in	O
your	O
own	O
words	O
	O
even	O
if	O
the	O
solutions	O
exist	O
in	O
a	O
publication	O
that	O
you	O
reference	O
.	O
•	O
For	O
more	O
information	O
	O
please	O
refer	O
to	O
the	O
departmental	O
guidelines	O
on	O
academic	O
honesty	O
.	O
Syllabus	O
:	O
Date	O
Lecture	O
topics	O
Handouts	O
Reading	O
Assigned	O
Due	O
3-Sep	DATE
Logic	ASSIGNMENT
1	ASSIGNMENT
Handout	ASSIGNMENT
1	ASSIGNMENT
Rosen	ASSIGNMENT
1.1	ASSIGNMENT
	O
1.2	ASSIGNMENT
Problem	ASSIGNMENT
set	ASSIGNMENT
1	ASSIGNMENT
5-Sep	DATE
Logic	ASSIGNMENT
2	ASSIGNMENT
Handout	ASSIGNMENT
2	ASSIGNMENT
Rosen	ASSIGNMENT
1.3	ASSIGNMENT
10-Sep	DATE
Logic	ASSIGNMENT
3	ASSIGNMENT
Handout	ASSIGNMENT
3	ASSIGNMENT
Rosen	ASSIGNMENT
1.4	ASSIGNMENT
	O
1.5	ASSIGNMENT
Problem	ASSIGNMENT
set	ASSIGNMENT
2	ASSIGNMENT
Problem	ASSIGNMENT
set	ASSIGNMENT
1	ASSIGNMENT
12-Sep	DATE
Logic	ASSIGNMENT
4	ASSIGNMENT
Handout	ASSIGNMENT
4	ASSIGNMENT
Rosen	ASSIGNMENT
1.6	ASSIGNMENT
17-Sep	DATE
Proof	ASSIGNMENT
methods	ASSIGNMENT
1	ASSIGNMENT
Handout	ASSIGNMENT
5	ASSIGNMENT
Rosen	ASSIGNMENT
1.7	ASSIGNMENT
	O
1.8	ASSIGNMENT
Problem	ASSIGNMENT
set	ASSIGNMENT
3	ASSIGNMENT
Problem	ASSIGNMENT
set	ASSIGNMENT
2	O
19-Sep	DATE
No	O
class	O
(	O
career	O
fair	O
)	O
24-Sep	DATE
Sets	ASSIGNMENT
Handout	ASSIGNMENT
7	ASSIGNMENT
Rosen	ASSIGNMENT
2.1	ASSIGNMENT
	O
2.2	ASSIGNMENT
26-Sep	DATE
Functions	ASSIGNMENT
Handout	ASSIGNMENT
8	ASSIGNMENT
Rosen	ASSIGNMENT
2.3	ASSIGNMENT
Problem	ASSIGNMENT
set	ASSIGNMENT
4	ASSIGNMENT
Problem	ASSIGNMENT
set	ASSIGNMENT
3	ASSIGNMENT
1-Oct	DATE
Number	ASSIGNMENT
theory	ASSIGNMENT
1	ASSIGNMENT
Handout	ASSIGNMENT
9	ASSIGNMENT
Rosen	ASSIGNMENT
4.1	ASSIGNMENT
3-Oct	DATE
Review	ASSIGNMENT
Problem	ASSIGNMENT
set	ASSIGNMENT
4	ASSIGNMENT
8-Oct	DATE
Exam	ASSIGNMENT
1	ASSIGNMENT
10-Oct	DATE
Number	ASSIGNMENT
theory	ASSIGNMENT
2	ASSIGNMENT
Handout	ASSIGNMENT
10	ASSIGNMENT
Rosen	ASSIGNMENT
4.3	ASSIGNMENT
Problem	ASSIGNMENT
set	ASSIGNMENT
5	ASSIGNMENT
15-Oct	DATE
Combinatorics	ASSIGNMENT
1	ASSIGNMENT
Handout	ASSIGNMENT
11	ASSIGNMENT
Rosen	ASSIGNMENT
5.1	ASSIGNMENT
17-Oct	DATE
Combinatorics	ASSIGNMENT
2	ASSIGNMENT
Handout	ASSIGNMENT
12	ASSIGNMENT
Rosen	ASSIGNMENT
5.2	ASSIGNMENT
Problem	ASSIGNMENT
set	ASSIGNMENT
5	ASSIGNMENT
22-Oct	DATE
Combinatorics	ASSIGNMENT
3	ASSIGNMENT
Handout	ASSIGNMENT
13	ASSIGNMENT
Rosen	ASSIGNMENT
5.3	ASSIGNMENT
24-Oct	DATE
Induction	ASSIGNMENT
1	ASSIGNMENT
Handout	ASSIGNMENT
14	ASSIGNMENT
Rosen	ASSIGNMENT
6.1	ASSIGNMENT
	O
6.2	ASSIGNMENT
29-Oct	DATE
Induction	ASSIGNMENT
2	ASSIGNMENT
Handout	ASSIGNMENT
15	ASSIGNMENT
Rosen	ASSIGNMENT
6.3	ASSIGNMENT
	O
6.4	ASSIGNMENT
31-Oct	DATE
Induction	ASSIGNMENT
3	ASSIGNMENT
Handout	ASSIGNMENT
16	ASSIGNMENT
Rosen	ASSIGNMENT
6.5	ASSIGNMENT
5-Nov	DATE
Graphs	ASSIGNMENT
1	ASSIGNMENT
Handout	ASSIGNMENT
17	ASSIGNMENT
N/A	O
7-Nov	DATE
Exam	ASSIGNMENT
2	ASSIGNMENT
12-Nov	DATE
Graphs	ASSIGNMENT
2	ASSIGNMENT
Handout	ASSIGNMENT
18	ASSIGNMENT
N/A	O
14-Nov	DATE
Graphs	ASSIGNMENT
3	ASSIGNMENT
Handout	ASSIGNMENT
19	ASSIGNMENT
N/A	O
19-Nov	DATE
Complexity	ASSIGNMENT
Handout	ASSIGNMENT
20	ASSIGNMENT
Rosen	ASSIGNMENT
3.2	ASSIGNMENT
21-Nov	DATE
Recurrences	ASSIGNMENT
Handout	ASSIGNMENT
21	ASSIGNMENT
Rosen	ASSIGNMENT
8.3	ASSIGNMENT
26-Nov	DATE
Master	ASSIGNMENT
theorem	ASSIGNMENT
Handout	ASSIGNMENT
22	ASSIGNMENT
28-Nov	DATE
No	O
class	O
(	O
Thanksgiving	O
)	O
http	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/users/ear/CodeOfConduct.html	WEBSITE
#	WEBSITE
honestyhttp	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/cs311h/lecture1-6up.pdfhttp	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/cs311h/hw1.pdfhttp	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/cs311h/lecture1b-6up.pdfhttp	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/cs311h/lecture2-6up.pdfhttp	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/cs311h/hw2.pdfhttp	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/cs311h/lecture3-6up.pdfhttp	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/cs311h/lecture4-6up.pdfhttp	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/cs311h/hw3.pdfhttp	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/cs311h/lecture-sets-6up.pdfhttp	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/cs311h/lecture-functions-6up.pdfhttp	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/cs311h/hw4.pdfhttp	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/cs311h/lecture-num-theory1-6up.pdfhttp	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/cs311h/lecture-num-theory2-6up.pdfhttp	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/cs311h/hw-numtheory.pdfhttp	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/cs311h/lecture-combinatorics1-6up.pdf	WEBSITE
3-Dec	DATE
Review	ASSIGNMENT
5-Dec	DATE
Exam	ASSIGNMENT
3	ASSIGNMENT
CS	O
311H	O
:	O
Discrete	O
Math	O
Honors	O
Logistical	O
Information	O
:	O
Course	O
Description	O
:	O
Requirements	O
and	O
Grading	O
:	O
Homework	O
Policies	O
:	O
Extra	O
Credit	O
:	O
Discussion	O
Forum	O
:	O
Announcements	O
:	O
Honor	O
Code	O
:	O
Syllabus	O
:	O
